                           List of relations
       Schema       |           Name           |    Type     |  Owner   
--------------------+--------------------------+-------------+----------
 information_schema | sql_features             | table       | FP_ADMIN
 information_schema | sql_implementation_info  | table       | FP_ADMIN
 information_schema | sql_parts                | table       | FP_ADMIN
 information_schema | sql_sizing               | table       | FP_ADMIN
 pg_catalog         | pg_aggregate             | table       | FP_ADMIN
 pg_catalog         | pg_am                    | table       | FP_ADMIN
 pg_catalog         | pg_amop                  | table       | FP_ADMIN
 pg_catalog         | pg_amproc                | table       | FP_ADMIN
 pg_catalog         | pg_attrdef               | table       | FP_ADMIN
 pg_catalog         | pg_attribute             | table       | FP_ADMIN
 pg_catalog         | pg_auth_members          | table       | FP_ADMIN
 pg_catalog         | pg_authid                | table       | FP_ADMIN
 pg_catalog         | pg_cast                  | table       | FP_ADMIN
 pg_catalog         | pg_class                 | table       | FP_ADMIN
 pg_catalog         | pg_collation             | table       | FP_ADMIN
 pg_catalog         | pg_constraint            | table       | FP_ADMIN
 pg_catalog         | pg_conversion            | table       | FP_ADMIN
 pg_catalog         | pg_database              | table       | FP_ADMIN
 pg_catalog         | pg_db_role_setting       | table       | FP_ADMIN
 pg_catalog         | pg_default_acl           | table       | FP_ADMIN
 pg_catalog         | pg_depend                | table       | FP_ADMIN
 pg_catalog         | pg_description           | table       | FP_ADMIN
 pg_catalog         | pg_enum                  | table       | FP_ADMIN
 pg_catalog         | pg_event_trigger         | table       | FP_ADMIN
 pg_catalog         | pg_extension             | table       | FP_ADMIN
 pg_catalog         | pg_foreign_data_wrapper  | table       | FP_ADMIN
 pg_catalog         | pg_foreign_server        | table       | FP_ADMIN
 pg_catalog         | pg_foreign_table         | table       | FP_ADMIN
 pg_catalog         | pg_index                 | table       | FP_ADMIN
 pg_catalog         | pg_inherits              | table       | FP_ADMIN
 pg_catalog         | pg_init_privs            | table       | FP_ADMIN
 pg_catalog         | pg_language              | table       | FP_ADMIN
 pg_catalog         | pg_largeobject           | table       | FP_ADMIN
 pg_catalog         | pg_largeobject_metadata  | table       | FP_ADMIN
 pg_catalog         | pg_namespace             | table       | FP_ADMIN
 pg_catalog         | pg_opclass               | table       | FP_ADMIN
 pg_catalog         | pg_operator              | table       | FP_ADMIN
 pg_catalog         | pg_opfamily              | table       | FP_ADMIN
 pg_catalog         | pg_parameter_acl         | table       | FP_ADMIN
 pg_catalog         | pg_partitioned_table     | table       | FP_ADMIN
 pg_catalog         | pg_policy                | table       | FP_ADMIN
 pg_catalog         | pg_proc                  | table       | FP_ADMIN
 pg_catalog         | pg_publication           | table       | FP_ADMIN
 pg_catalog         | pg_publication_namespace | table       | FP_ADMIN
 pg_catalog         | pg_publication_rel       | table       | FP_ADMIN
 pg_catalog         | pg_range                 | table       | FP_ADMIN
 pg_catalog         | pg_replication_origin    | table       | FP_ADMIN
 pg_catalog         | pg_rewrite               | table       | FP_ADMIN
 pg_catalog         | pg_seclabel              | table       | FP_ADMIN
 pg_catalog         | pg_sequence              | table       | FP_ADMIN
 pg_catalog         | pg_shdepend              | table       | FP_ADMIN
 pg_catalog         | pg_shdescription         | table       | FP_ADMIN
 pg_catalog         | pg_shseclabel            | table       | FP_ADMIN
 pg_catalog         | pg_statistic             | table       | FP_ADMIN
 pg_catalog         | pg_statistic_ext         | table       | FP_ADMIN
 pg_catalog         | pg_statistic_ext_data    | table       | FP_ADMIN
 pg_catalog         | pg_subscription          | table       | FP_ADMIN
 pg_catalog         | pg_subscription_rel      | table       | FP_ADMIN
 pg_catalog         | pg_tablespace            | table       | FP_ADMIN
 pg_catalog         | pg_transform             | table       | FP_ADMIN
 pg_catalog         | pg_trigger               | table       | FP_ADMIN
 pg_catalog         | pg_ts_config             | table       | FP_ADMIN
 pg_catalog         | pg_ts_config_map         | table       | FP_ADMIN
 pg_catalog         | pg_ts_dict               | table       | FP_ADMIN
 pg_catalog         | pg_ts_parser             | table       | FP_ADMIN
 pg_catalog         | pg_ts_template           | table       | FP_ADMIN
 pg_catalog         | pg_type                  | table       | FP_ADMIN
